SampleID	F	R	Extraction_batch	PCR_batch	Plate	Well	Ale_ID	SampleOrigin	IsolationMethod	Tissue	Site	Tree	GlobalSampleID	SampleType	SequencingType
Leaf-ITS-F11-R19	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F11-R20	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F11-R21	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F11-R22	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F11-R23	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F11-R24	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F12-R1	F12	R1	4	1	1	A12	NA	Microbiome	NA	Leaf	ATTP	A14	Microbiome-Leaf-ATTP-A14	Sample	NovaSeq
Leaf-ITS-F12-R2	F12	R2	4	1	1	B12	NA	Microbiome	NA	Leaf	BBW	C1	Microbiome-Leaf-BBW-C1	Sample	NovaSeq
Leaf-ITS-F12-R3	F12	R3	4	1	1	C12	NA	Microbiome	NA	Leaf	CDS	C5	Microbiome-Leaf-CDS-C5	Sample	NovaSeq
Leaf-ITS-F12-R4	F12	R4	4	1	1	D12	NA	Microbiome	NA	Leaf	CDS	C3	Microbiome-Leaf-CDS-C3	Sample	NovaSeq
Leaf-ITS-F12-R5	F12	R5	4	1	1	E12	NA	Microbiome	NA	Leaf	DYMK	C4	Microbiome-Leaf-DYMK-C4	Sample	NovaSeq
Leaf-ITS-F12-R6	F12	R6	4	1	1	F12	NA	Microbiome	NA	Leaf	GMKW	A6	Microbiome-Leaf-GMKW-A6	Sample	NovaSeq
Leaf-ITS-F12-R7	F12	R7	4	1	1	G12	NA	Microbiome	NA	Leaf	GMKW	A10	Microbiome-Leaf-GMKW-A10	Sample	NovaSeq
