Site,Tree,PDI,DAI,PDI_unscaled,DAI_unscaled,AOD proximity
WINDW,A17,0.736403141,-0.237775475,0.085413055,-0.535346694,AOD
WINDW,A18,0.872706039,-0.199254862,0.185468902,-0.506168991,AOD
WINDW,A19,0.741299507,0.130709636,0.08900733,-0.256235111,AOD
WINDW,A20,0.715171771,-0.313881853,0.069827747,-0.592993995,AOD
WINDW,A6,0.671741275,-0.141231248,0.03794673,-0.462218605,AOD
WINDW,A7,0.694534349,-0.032092236,0.054678437,-0.379550509,AOD
WINDW,A8,0.87012362,-0.598575125,0.183573226,-0.808636874,AOD
WINDW,A9,NA,NA,NA,NA,NA
WINDW,C1,0.328283593,0.068951033,-0.214175197,-0.303014589,AOD
WINDW,C2,0.119174384,-0.288749967,-0.367675961,-0.573957674,AOD
WINDW,C3,0.473511272,0.055084182,-0.107567938,-0.313518131,AOD
WINDW,C4,0.328938801,0.057735923,-0.213694229,-0.311509552,AOD
WINDW,C5,0.606624771,-9.54E-04,-0.009853332,-0.355964735,AOD
