SampleID	F	R	Extraction_batch	PCR_batch	Plate	Well	Ale_ID	SampleOrigin	IsolationMethod	Tissue	Site	Tree	GlobalSampleID	SampleType	SequencingType
D2E-16S-F20-R17	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F20-R18	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F20-R19	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F20-R20	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F20-R21	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F20-R22	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F20-R23	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F20-R24	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F21-R1	F21	R1	200	5	3	E1	34	Isolation	D2E	Leaf	HARWD	C1	Isolation-D2E-HARWD-C1	Sample	NovaSeq
D2E-16S-F21-R2	F21	R2	200	5	3	E2	123	Isolation	D2E	Soil	LWBKR	C3	Isolation-D2E-LWBKR-C3	Sample	NovaSeq
D2E-16S-F21-R3	F21	R3	200	5	3	E3	176	Isolation	D2E	Leaf	MOCCA	C3	Isolation-D2E-MOCCA-C3	Sample	NovaSeq
D2E-16S-F21-R4	F21	R4	200	5	3	E4	226	Isolation	D2E	Leaf	CROC	C4	Isolation-D2E-CROC-C4	Sample	NovaSeq
D2E-16S-F21-R5	F21	R5	200	5	3	E5	271	Isolation	D2E	Soil	RCHMD	C5	Isolation-D2E-RCHMD-C5	Sample	NovaSeq
D2E-16S-F21-R6	F21	R6	200	5	3	E6	330	Isolation	D2E	Soil	ATTP	C4	Isolation-D2E-ATTP-C4	Sample	NovaSeq
D2E-16S-F21-R7	F21	R7	200	5	3	E7	26	Isolation	D2E	Leaf	GMKW	C1	Isolation-D2E-GMKW-C1	Sample	NovaSeq
D2E-16S-F21-R8	F21	R8	200	5	3	E8	81	Isolation	D2E	Soil	LWBKR	C2	Isolation-D2E-LWBKR-C2	Sample	NovaSeq
D2E-16S-F21-R9	F21	R9	200	5	3	E9	156	Isolation	D2E	Leaf	CROC	C3	Isolation-D2E-CROC-C3	Sample	NovaSeq
D2E-16S-F21-R10	F21	R10	200	5	3	E10	188	Isolation	D2E	Leaf	GMKW	C4	Isolation-D2E-GMKW-C4	Sample	NovaSeq
D2E-16S-F21-R11	F21	R11	200	5	3	E11	232	Isolation	D2E	Leaf	SNDR	C4	Isolation-D2E-SNDR-C4	Sample	NovaSeq
D2E-16S-F21-R12	F21	R12	200	5	3	E12	142	Isolation	D2E	Leaf	STHWK	C3	Isolation-D2E-STHWK-C3	Sample	NovaSeq
