SampleID	F	R	Extraction_batch	PCR_batch	Plate	Well	Ale_ID	SampleOrigin	IsolationMethod	Tissue	Site	Tree	GlobalSampleID	SampleType	SequencingType
Agar-16S-F8-R7	F8	R7	201	6	1	H7	90	Isolation	Agar	All	SLCY	C5	Isolation-Agar-SLCY-C5	Sample	MiSeq
Agar-16S-F8-R8	F8	R8	201	6	1	H8	91	Isolation	Agar	All	MCOU	C1	Isolation-Agar-MCOU-C1	Sample	MiSeq
Agar-16S-F8-R9	F8	R9	201	6	1	H9	92	Isolation	Agar	All	MCOU	C2	Isolation-Agar-MCOU-C2	Sample	MiSeq
Agar-16S-F8-R10	F8	R10	201	6	1	H10	93	Isolation	Agar	All	MCOU	C3	Isolation-Agar-MCOU-C3	Sample	MiSeq
Agar-16S-F8-R11	F8	R11	201	6	1	H11	94	Isolation	Agar	All	MCOU	C4	Isolation-Agar-MCOU-C4	Sample	MiSeq
Agar-16S-F8-R12	F8	R12	201	6	1	H12	Neg_PCR_Ctrol_2	Isolation	Agar	All	PCR Negative	PCR Negative	Isolation-Agar-PCR Negative-PCR Negative	PCR_Negative	MiSeq
Agar-16S-F8-R13	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F8-R14	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F8-R15	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F8-R16	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F8-R17	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F8-R18	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F8-R19	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F8-R20	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F8-R21	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F8-R22	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F8-R23	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F8-R24	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F9-R1	F9	R1	201	6	2	A1	95	Isolation	Agar	All	MCOU	C5	Isolation-Agar-MCOU-C5	Sample	MiSeq
Agar-16S-F9-R2	F9	R2	201	6	2	A2	96	Isolation	Agar	All	STHWK	C1	Isolation-Agar-STHWK-C1	Sample	MiSeq
Agar-16S-F9-R3	F9	R3	201	6	2	A3	97	Isolation	Agar	All	STHWK	C2	Isolation-Agar-STHWK-C2	Sample	MiSeq
Agar-16S-F9-R4	F9	R4	201	6	2	A4	98	Isolation	Agar	All	STHWK	C3	Isolation-Agar-STHWK-C3	Sample	MiSeq
Agar-16S-F9-R5	F9	R5	201	6	2	A5	99	Isolation	Agar	All	STHWK	C4	Isolation-Agar-STHWK-C4	Sample	MiSeq
Agar-16S-F9-R6	F9	R6	201	6	2	A6	100	Isolation	Agar	All	STHWK	C5	Isolation-Agar-STHWK-C5	Sample	MiSeq
Agar-16S-F9-R7	F9	R7	201	6	2	A7	101	Isolation	Agar	All	ATTP	C1	Isolation-Agar-ATTP-C1	Sample	MiSeq
Agar-16S-F9-R8	F9	R8	201	6	2	A8	102	Isolation	Agar	All	ATTP	C2	Isolation-Agar-ATTP-C2	Sample	MiSeq
Agar-16S-F9-R9	F9	R9	201	6	2	A9	103	Isolation	Agar	All	ATTP	C3	Isolation-Agar-ATTP-C3	Sample	MiSeq
Agar-16S-F9-R10	F9	R10	201	6	2	A10	104	Isolation	Agar	All	ATTP	C4	Isolation-Agar-ATTP-C4	Sample	MiSeq
Agar-16S-F9-R11	F9	R11	201	6	2	A11	105	Isolation	Agar	All	ATTP	C5	Isolation-Agar-ATTP-C5	Sample	MiSeq
Agar-16S-F9-R12	F9	R12	201	6	2	A12	106	Isolation	Agar	All	ANCST	C1	Isolation-Agar-ANCST-C1	Sample	MiSeq
Agar-16S-F9-R13	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F9-R14	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F9-R15	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F9-R16	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F9-R17	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F9-R18	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F9-R19	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F9-R20	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F9-R21	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F9-R22	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F9-R23	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F9-R24	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F10-R1	F10	R1	201	6	2	B1	107	Isolation	Agar	All	ANCST	C2	Isolation-Agar-ANCST-C2	Sample	MiSeq
Agar-16S-F10-R2	F10	R2	201	6	2	B2	108	Isolation	Agar	All	ANCST	C3	Isolation-Agar-ANCST-C3	Sample	MiSeq
Agar-16S-F10-R3	F10	R3	201	6	2	B3	109	Isolation	Agar	All	ANCST	C4	Isolation-Agar-ANCST-C4	Sample	MiSeq
