Plate,Well,SampleOrigin,SampleID,F,R,Site,Tree
2,A7,Agar,101,F9,R7,ATTP,C1
2,A8,Agar,102,F9,R8,ATTP,C2
2,A9,Agar,103,F9,R9,ATTP,C3
2,A10,Agar,104,F9,R10,ATTP,C4
2,A11,Agar,105,F9,R11,ATTP,C5
2,A12,Agar,106,F9,R12,ANCST,C1
2,B1,Agar,107,F10,R1,ANCST,C2
2,B2,Agar,108,F10,R2,ANCST,C3
2,B3,Agar,109,F10,R3,ANCST,C4
2,B4,Agar,110,F10,R4,ANCST,C5
2,B5,Agar,111,F10,R5,HRWD,C1
2,B6,Agar,112,F10,R6,HRWD,C2
2,B7,Agar,113,F10,R7,HRWD,C3
2,B8,Agar,114,F10,R8,HRWD,C4
2,B9,Agar,115,F10,R9,HRWD,C5
2,B10,Agar,116,F10,R10,BBW,C1
2,B11,Agar,117,F10,R11,BBW,C2
2,B12,Agar,118,F10,R12,BBW,C3
2,C1,Agar,119,F11,R1,BBW,C4
2,C2,Agar,120,F11,R2,BBW,C5
2,C3,Agar,121,F11,R3,LWBKR,C1
2,C4,Agar,122,F11,R4,LWBKR,C2
2,C5,Agar,123,F11,R5,LWBKR,C3
2,C6,Agar,124,F11,R6,LWBKR,C4
2,C7,Agar,125,F11,R7,LWBKR,C5
2,C8,Agar,126,F11,R8,MTRD,C1
2,C9,Agar,127,F11,R9,MTRD,C2
2,C10,Agar,128,F11,R10,MTRD,C3
2,C11,Agar,129,F11,R11,MTRD,C4
2,C12,Agar,130,F11,R12,MTRD,C5
2,D1,Agar,131,F12,R1,SAW,C1
2,D2,Agar,132,F12,R2,SAW,C2
2,D3,Agar,133,F12,R3,SAW,C3
2,D4,Agar,134,F12,R4,SAW,C4
2,D5,Agar,135,F12,R5,SAW,C5
2,D6,Agar,136,F12,R6,RWDN,C1
2,D7,Agar,137,F12,R7,RWDN,C2
2,D8,Agar,138,F12,R8,RWDN,C3
2,D9,Agar,139,F12,R9,RWDN,C4
2,D10,Agar,140,F12,R10,RWDN,C5
2,D11,Agar,141,F12,R11,HLKH,C1
2,D12,Agar,142,F12,R12,HLKH,C2
2,E1,Agar,143,F13,R1,HLKH,C3
2,E2,Agar,144,F13,R2,HLKH,C4
2,E3,Agar,145,F13,R3,HLKH,C5
2,E4,Agar,146,F13,R4,SNDR,C1
2,E5,Agar,147,F13,R5,SNDR,C2
2,E6,Agar,148,F13,R6,SNDR,C3
2,E7,Agar,149,F13,R7,SNDR,C4
2,E8,Agar,150,F13,R8,SNDR,C5
2,E9,Agar,Iso_Neg_Ctrol_1,F13,R9,,
2,E10,Agar,Iso_Neg_Ctrol_2,F13,R10,,
2,E11,Agar,Iso_Neg_Ctrol_3,F13,R11,,
2,E12,Agar,DNA_Neg_Ctrol,F13,R12,,
2,F1,Agar,PCR_Neg_Ctrol_3,F14,R1,,
2,F2,Agar,PCR_Neg_Ctrol_4,F14,R2,,
