Plate,Well,SampleOrigin,SampleID,F,R,Site,Tree
3,D4,Agar,40,F4,R4,LNGDL,C5
3,D5,Agar,41,F4,R5,MALDW,C1
3,D6,Agar,42,F4,R6,MALDW,C2
3,D7,Agar,43,F4,R7,MALDW,C3
3,D8,Agar,44,F4,R8,MALDW,C4
3,D9,Agar,45,F4,R9,MALDW,C5
3,D10,Agar,46,F4,R10,HOEF,C1
3,D11,Agar,47,F4,R11,HOEF,C2
3,D12,Agar,48,F4,R12,HOEF,C3
3,E1,Agar,49,F5,R1,HOEF,C4
3,E2,Agar,50,F5,R2,HOEF,C5
3,E3,Agar,51,F5,R3,LINEAG,C1
3,E4,Agar,52,F5,R4,LINEAG,C2
3,E5,Agar,53,F5,R5,LINEAG,C3
3,E6,Agar,54,F5,R6,LINEAG,C4
3,E7,Agar,55,F5,R7,LINEAG,C5
3,E8,Agar,56,F5,R8,CROC,C1
3,E9,Agar,57,F5,R9,CROC,C2
3,E10,Agar,58,F5,R10,CROC,C3
3,E11,Agar,59,F5,R11,CROC,C4
3,E12,Agar,60,F5,R12,CROC,C5
3,F1,Agar,61,F6,R1,GMKW,C1
3,F2,Agar,62,F6,R2,GMKW,C2
3,F3,Agar,63,F6,R3,GMKW,C3
3,F4,Agar,64,F6,R4,GMKW,C4
3,F5,Agar,65,F6,R5,GMKW,C5
3,F6,Agar,66,F6,R6,CDPM,C1
3,F7,Agar,67,F6,R7,CDPM,C2
3,F8,Agar,68,F6,R8,CDPM,C3
3,F9,Agar,69,F6,R9,CDPM,C4
3,F10,Agar,70,F6,R10,CDPM,C5
3,F11,Agar,71,F6,R11,CDS,C1
3,F12,Agar,72,F6,R12,CDS,C2
3,G1,Agar,73,F7,R1,CDS,C3
3,G2,Agar,74,F7,R2,CDS,C4
3,G3,Agar,75,F7,R3,CDS,C5
3,G4,Agar,76,F7,R4,WINDW,C1
3,G5,Agar,77,F7,R5,WINDW,C2
3,G6,Agar,78,F7,R6,WINDW,C3
3,G7,Agar,79,F7,R7,WINDW,C4
3,G8,Agar,80,F7,R8,WINDW,C5
3,G9,Agar,81,F7,R9,MOCCA,C1
3,G10,Agar,82,F7,R10,MOCCA,C2
3,G11,Agar,83,F7,R11,MOCCA,C3
3,G12,Agar,84,F7,R12,MOCCA,C4
3,H1,Agar,85,F8,R1,MOCCA,C5
3,H2,Agar,86,F8,R2,SLCY,C1
3,H3,Agar,87,F8,R3,SLCY,C2
3,H4,Agar,88,F8,R4,SLCY,C3
3,H5,Agar,89,F8,R5,SLCY,C4
3,H6,Agar,Neg_PCR_Ctrol_1,F8,R6,,C
3,H7,Agar,90,F8,R7,SLCY,C5
3,H8 ,Agar,91,F8,R8,MCOU,C1
3,H9,Agar,92,F8,R9,MCOU,C2
3,H10,Agar,93,F8,R10,MCOU,C3
3,H11,Agar,94,F8,R11,MCOU,C4
3,H12,Agar,Neg_PCR_Ctrol_2,F8,R12,,C
4,A1,Agar,95,F9,R1,MCOU,C5
4,A2,Agar,96,F9,R2,STHWK,C1
4,A3,Agar,97,F9,R3,STHWK,C2
4,A4,Agar,98,F9,R4,STHWK,C3
4,A5,Agar,99,F9,R5,STHWK,C4
4,A6,Agar,100,F9,R6,STHWK,C5
4,A7,Agar,101,F9,R7,ATTP,C1
4,A8,Agar,102,F9,R8,ATTP,C2
4,A9,Agar,103,F9,R9,ATTP,C3
4,A10,Agar,104,F9,R10,ATTP,C4
4,A11,Agar,105,F9,R11,ATTP,C5
4,A12,Agar,106,F9,R12,ANCST,C1
4,B1,Agar,107,F10,R1,ANCST,C2
4,B2,Agar,108,F10,R2,ANCST,C3
4,B3,Agar,109,F10,R3,ANCST,C4
4,B4,Agar,110,F10,R4,ANCST,C5
4,B5,Agar,111,F10,R5,HRWD,C1
4,B6,Agar,112,F10,R6,HRWD,C2
4,B7,Agar,113,F10,R7,HRWD,C3
4,B8,Agar,114,F10,R8,HRWD,C4
4,B9,Agar,115,F10,R9,HRWD,C5
4,B10,Agar,116,F10,R10,BBW,C1
4,B11,Agar,117,F10,R11,BBW,C2
4,B12,Agar,118,F10,R12,BBW,C3
4,C1,Agar,119,F11,R1,BBW,C4
4,C2,Agar,120,F11,R2,BBW,C5
4,C3,Agar,121,F11,R3,LWBKR,C1
4,C4,Agar,122,F11,R4,LWBKR,C2
4,C5,Agar,123,F11,R5,LWBKR,C3
4,C6,Agar,124,F11,R6,LWBKR,C4
4,C7,Agar,125,F11,R7,LWBKR,C5
4,C8,Agar,126,F11,R8,MTRD,C1
4,C9,Agar,127,F11,R9,MTRD,C2
4,C10,Agar,128,F11,R10,MTRD,C3
4,C11,Agar,129,F11,R11,MTRD,C4
4,C12,Agar,130,F11,R12,MTRD,C5
4,D1,Agar,131,F12,R1,SAW,C1
4,D2,Agar,132,F12,R2,SAW,C2
4,D3,Agar,133,F12,R3,SAW,C3
4,D4,Agar,134,F12,R4,SAW,C4
4,D5,Agar,135,F12,R5,SAW,C5
4,D6,Agar,136,F12,R6,RWDN,C1
4,D7,Agar,137,F12,R7,RWDN,C2
4,D8,Agar,138,F12,R8,RWDN,C3
4,D9,Agar,139,F12,R9,RWDN,C4
4,D10,Agar,140,F12,R10,RWDN,C5
4,D11,Agar,141,F12,R11,HLKH,C1
4,D12,Agar,142,F12,R12,HLKH,C2
4,E1,Agar,143,F13,R1,HLKH,C3
4,E2,Agar,144,F13,R2,HLKH,C4
4,E3,Agar,145,F13,R3,HLKH,C5
4,E4,Agar,146,F13,R4,SNDR,C1
4,E5,Agar,147,F13,R5,SNDR,C2
4,E6,Agar,148,F13,R6,SNDR,C3
4,E7,Agar,149,F13,R7,SNDR,C4
4,E8,Agar,150,F13,R8,SNDR,C5
4,E9,Agar,Iso_Neg_Ctrol_1,F13,R9,,
4,E10,Agar,Iso_Neg_Ctrol_2,F13,R10,,
4,E11,Agar,Iso_Neg_Ctrol_3,F13,R11,,
4,E12,Agar,DNA_Neg_Ctrol,F13,R12,,
4,F1,Agar,PCR_Neg_Ctrol_3,F14,R1,,
4,F2,Agar,PCR_Neg_Ctrol_4,F14,R2,,
