Plate,Well,Tube,Extraction,Date,Tissue,Site,Tree,SampleWeight,Fluoro,Conc,Band_intensity,Pool,Fw_barcode,Rev_barcode
1,F12,NA,4,24/02/2022,Leaf,GMKW,A6,0.23,1367.346,100.9080361,High,Y,F12,R6
1,G12,NA,4,24/02/2022,Leaf,GMKW,A10,0.16,657.92,35.78680021,High,Y,F12,R7
1,H12,NA,4,24/02/2022,Leaf,HLKH,A6,0.15,733.204,42.69743941,High,Y,F12,R8
13,A4,NA,4,24/02/2022,Leaf,HLKH,A17,0.25,813.723,54.51450188,High,Y,F1,R9
13,B4,NA,4,24/02/2022,Leaf,HOEF,A13,0.2,787.733,52.52099075,High,Y,F1,R10
13,C4,NA,4,24/02/2022,Leaf,HOEF,A20,0.2,716.077,47.02476014,High,Y,F1,R11
13,D4,NA,4,24/02/2022,Leaf,HOEF,C5,0.18,747.45,49.43116355,High,Y,F1,R12
13,E4,NA,4,24/02/2022,Leaf,HOEF,A15,0.29,734.89,48.4677738,High,Y,F1,R13
13,F4,NA,4,24/02/2022,Leaf,HOEF,A7,0.18,181.041,5.985890578,Vlow,Y,F1,R14
13,G4,NA,4,24/02/2022,Leaf,HTCH,C1,0.18,702.256,45.9646479,High,Y,F1,R15
13,H4,NA,4,24/02/2022,Leaf,LINEAG,C5,0.24,533.051,32.98611575,High,Y,F1,R16
13,A5,NA,4,24/02/2022,Leaf,LNGDL,A11,0.17,770.245,51.17960858,High,Y,F2,R9
13,B5,NA,4,24/02/2022,Leaf,MCOU,C2,0.2,673.761,43.77899574,High,Y,F2,R10
13,C5,NA,4,24/02/2022,Leaf,MOCCA,A9,0.18,753.064,49.86177423,Mid,Y,F2,R11
13,D5,NA,4,24/02/2022,Leaf,RCHMD,C2,0.28,648.271,41.82383611,High,Y,F2,R12
13,E5,NA,R,07/04/2022,Leaf,RCHMD,A15,0.21,834.221,56.0867601,High,Y,F2,R13
13,F5,NA,4,24/02/2022,Leaf,SLCY,C2,0.19,575.173,36.21699977,Low,Y,F2,R14
13,G5,NA,4,24/02/2022,Leaf,SLCY,C3,0.2,486.544,29.41888905,Low,Y,F2,R15
13,H5,NA,4,24/02/2022,Leaf,SNDR,C1,0.27,313.735,16.16391927,Low,Y,F2,R16
2,A3,NA,R,07/04/2022,Leaf,STHWK,A13,0.17,849.892,53.40872821,High,Y,F3,R9
2,B3,NA,4,24/02/2022,Leaf,WINDW,A19,0.16,684.179,38.19722573,Mid,Y,F3,R10
2,C3,NA,4,24/02/2022,Leaf,WINDW,C3,0.19,502.579,21.52738782,High,Y,F3,R11
2,D3,NA,4,24/02/2022,Leaf,WINDW,C5,0.19,773.194,46.36829193,High,Y,F3,R12
2,E3,NA,5,25/02/2022,Leaf,ATTP,C1,0.19,597.998,30.28630447,Low,Y,F3,R13
2,F3,NA,5,25/02/2022,Leaf,ATTP,C4,0.21,658.62,35.8510562,High,Y,F3,R14
2,G3,NA,5,25/02/2022,Leaf,ATTP,A16,0.17,686.679,38.42671138,High,Y,F3,R15
2,H3,NA,5,25/02/2022,Leaf,BBW,C2,0.2,457.551,17.3940758,High,Y,F3,R16
13,A6,NA,5,25/02/2022,Leaf,GMKW,A19,0.14,644.94,41.5683384,High,Y,F4,R9
13,B6,NA,5,25/02/2022,Leaf,GMKW,A11,0.19,643.867,41.48603607,High,Y,F4,R10
13,C6,NA,5,25/02/2022,Leaf,GMKW,A20,0.16,578.004,36.43414598,High,Y,F4,R11
13,D6,NA,5,25/02/2022,Leaf,HOEF,A11,0.21,699.068,45.72011871,High,Y,F4,R12
13,E6,NA,5,25/02/2022,Leaf,HOEF,C4,0.18,875.778,59.27430692,High,Y,F4,R13
13,F6,NA,5,25/02/2022,Leaf,HOEF,A8,0.19,661.782,42.86017043,High,Y,F4,R14
13,G6,NA,5,25/02/2022,Leaf,HTCH,A12,0.19,750.155,49.63864519,High,Y,F4,R15
