Plate,Well,F,R,SampleOrigin,SampleID,Site,Tissue,D2E_replicate,Tree,Date
6,H1,F16,R1,D2E,PCR_NEG_Ctrol_2,PCR_NEG_Ctrol_2,PCR_NEG_Ctrol_2,PCR_NEG_Ctrol_2,PCR_NEG_Ctrol_2,PCR_NEG_Ctrol_2
6,A2,F9,R2,D2E,143,MCOU,ROOT,1,C3,11/10/2022
6,B2,F10,R2,D2E,150,SAW,LEAF,3,C3,11/10/2022
6,C2,F11,R2,D2E,153,LANGDL,ROOT,1,C3,11/10/2022
6,D2,F12,R2,D2E,168,SNDR,LEAF,1,C3,11/10/2022
6,E2,F13,R2,D2E,173,HOEF,ROOT,3,C3,11/10/2022
6,F2,F14,R2,D2E,193,HRWD,ROOT,1,C4,11/10/2022
6,G2,F15,R2,D2E,196,ATTP,LEAF,1,C4,11/10/2022
6,H2,F16,R2,D2E,197,ANCST,ROOT,1,C4,11/10/2022
6,A3,F9,R3,D2E,202,MCOU,LEAF,1,C4,11/10/2022
6,B3,F10,R3,D2E,204,CDPM,LEAF,3,C4,11/10/2022
6,C3,F11,R3,D2E,205,SAW,ROOT,3,C4,11/10/2022
6,D3,F12,R3,D2E,213,DYMK,ROOT,1,C4,11/10/2022
6,E3,F13,R3,D2E,223,SLCY,ROOT,1,C4,11/10/2022
6,F3,F14,R3,D2E,242,RWDN,LEAF,1,C5,11/10/2022
6,G3,F15,R3,D2E,243,LWBKR,ROOT,1,C5,11/10/2022
6,H3,F16,R3,D2E,252,WINDW,LEAF,3,C5,11/10/2022
6,A4,F9,R4,D2E,272,RCHMD,LEAF,1,C5,11/10/2022
6,B4,F10,R4,D2E,275,CROC,ROOT,1,C5,11/10/2022
6,C4,F11,R4,D2E,277,ASHC,ROOT,2,C5,11/10/2022
6,D4,F12,R4,D2E,278,ASHC,LEAF,3,C5,11/10/2022
6,E4,F13,R4,D2E,289,STRTS,ROOT,3,C5,11/10/2022
6,F4,F14,R4,D2E,298,WLDCP,LEAF,2,C5,11/10/2022
6,G4,F15,R4,D2E,301,STHWK,ROOT,2,C1,11/10/2022
6,H4,F16,R4,D2E,304,STHWK,LEAF,3,C1,11/10/2022
6,A5,F9,R5,D2E,318,HRWD,ROOT,2,C2,11/10/2022
6,B5,F10,R5,D2E,332,ATTP,LEAF,3,C4,11/10/2022
6,C5,F11,R5,D2E,334,HOEF,ROOT,3,C4,11/10/2022
6,D5,F12,R5,D2E,341,BBW,ROOT,2,C4,11/10/2022
6,E5,F13,R5,D2E,345,CDPM,ROOT,1,C4,11/10/2022
6,F5,F14,R5,D2E,349,HTCH,ROOT,1,C5,11/10/2022
6,G5,F15,R5,D2E,351,HTCH,LEAF,2,C5,11/10/2022
6,H5,F16,R5,D2E,354,MCOU,ROOT,3,C5,11/10/2022
6,A6,F9,R6,D2E,1,SAW,ROOT,1,C1,14/10/2022
6,B6,F10,R6,D2E,14,ASHC,LEAF,1,C1,14/10/2022
6,C6,F11,R6,D2E,38,MTRD,LEAF,2,C1,14/10/2022
6,D6,F12,R6,D2E,40,DYMK,LEAF,2,C1,14/10/2022
6,E6,F13,R6,D2E,46,HLKH,LEAF,1,C1,14/10/2022
6,F6,F14,R6,D2E,52,MOCCA,LEAF,1,C1,10/10/2022
6,G6,F15,R6,D2E,60,TAWWD,LEAF,3,C1,14/10/2022
6,H6,F16,R6,D2E,70,ATTP,LEAF,1,C2,14/10/2022
6,A7,F9,R7,D2E,72,HARWD,LEAF,3,C2,14/10/2022
6,B7,F10,R7,D2E,91,RCHMD,ROOT,1,C2,14/10/2022
6,C7,F11,R7,D2E,95,CROC,ROOT,1,C2,14/10/2022
6,D7,F12,R7,D2E,96,CROC,LEAF,1,C2,14/10/2022
6,E7,F13,R7,D2E,101,CDS,ROOT,2,C2,14/10/2022
6,F7,F14,R7,D2E,106,HLKH,LEAF,1,C2,14/10/2022
6,G7,F15,R7,D2E,122,RWDN,LEAF,3,C3,14/10/2022
6,H7,F16,R7,D2E,154,LANGDL,LEAF,2,C3,14/10/2022
6,A8,F9,R8,D2E,157,ASHC,ROOT,1,C3,14/10/2022
6,B8,F10,R8,D2E,166,HLKH,LEAF,1,C3,14/10/2022
6,C8,F11,R8,D2E,180,TAWWD,LEAF,3,C3,14/10/2022
6,D8,F12,R8,D2E,186,MTRD,LEAF,1,C4,14/10/2022
6,E8,F13,R8,D2E,216,HLKH,LEAF,1,C4,14/10/2022
6,F8,F14,R8,D2E,225,CROC,ROOT,2,C4,14/10/2022
6,G8,F15,R8,D2E,233,HTCH,ROOT,1,C4,14/10/2022
6,H8,F16,R8,D2E,238,MOCCA,LEAF,1,C4,14/10/2022
6,A9,F9,R9,D2E,245,MTRD,ROOT,2,C5,14/10/2022
6,B9,F10,R9,D2E,247,GMKW,ROOT,1,C5,14/10/2022
6,C9,F11,R9,D2E,253,HRWD,ROOT,3,C5,14/10/2022
6,D9,F12,R9,D2E,255,ATTP,ROOT,2,C5,10/10/2022
6,E9,F13,R9,D2E,262,STHWK,LEAF,1,C5,14/10/2022
6,F9,F14,R9,D2E,269,SAW,ROOT,3,C5,14/10/2022
6,G9,F15,R9,D2E,280,MOCCA,LEAF,1,C5,14/10/2022
6,H9,F16,R9,D2E,282,MALDW,LEAF,1,C5,14/10/2022
6,A10,F9,R10,D2E,287,CDS,ROOT,3,C5,14/10/2022
6,B10,F10,R10,D2E,290,STRTS,LEAF,3,C5,14/10/2022
6,C10,F11,R10,D2E,294,SNDR,LEAF,1,C5,14/10/2022
6,D10,F12,R10,D2E,299,HOEF,ROOT,3,C5,14/10/2022
6,E10,F13,R10,D2E,310,WINDW,ROOT,3,C2,14/10/2022
6,F10,F14,R10,D2E,313,DYMK,ROOT,1,C2,14/10/2022
6,G10,F15,R10,D2E,320,HRWD,LEAF,2,C2,14/10/2022
6,H10,F16,R10,D2E,322,MALDW,ROOT,3,C3,14/10/2022
6,A11,F9,R11,D2E,337,SLCY,ROOT,2,C4,14/10/2022
